0,0.1,0.003322,0.44,0.02,0.001594,0.016,0.02,0.04,0.008,0.166667,0.1,0,0.08,15,56,137,167,181,196,200,258,275,277,307,408,417,508,609,639,652,705,758,780,806,815,823,860,875,908
1,0,0.463455,0,0.06,0.114344,0.048,0.06,0.06,0.196,0,0.1,0,0.06,17,35,118,145,182,196,200,258,275,278,307,387,417,507,519,614,651,660,757,779,783,815,823,833,874,893
0,0,0.001661,0,0,0.077438,0,0,0.74,0.194,0,0,0,0,18,63,119,146,181,196,200,258,275,278,307,388,457,512,548,615,655,702,757,779,784,815,828,836,874,893
0,0.3,0.001661,0,0,0.014297,0.08,0.26,0.66,0.144,0.166667,0.3,0,0,24,41,118,145,181,195,200,258,275,277,307,387,417,508,608,614,651,692,758,781,783,817,826,833,876,893
0,0.4,0.003322,0.15,0.4,0.001797,0.048,0.08,0.46,0.048,0.333333,0.2,0,0.4,16,35,118,145,181,193,200,258,275,284,307,387,437,509,519,614,659,660,758,782,783,815,822,833,878,893
0,0.05,3.960133,0.13,0.08,0.000625,0.008,0.69,0.06,1.218,0.166667,1.1,0,0.08,14,36,118,145,181,196,200,260,275,277,364,387,483,508,519,614,651,660,757,779,783,815,827,833,874,893
0,0,0.006645,0.01,0.04,0.125562,0.328,0.18,0.26,0.734,0,0.2,0,0.04,15,40,118,145,184,197,200,267,275,277,307,387,417,508,527,614,654,662,757,780,783,815,822,833,877,893
0,0,0.001661,0,0,0.088344,0,0,0.08,0.03,0,0,0,0,14,37,118,145,183,195,250,260,275,289,312,387,426,507,520,614,654,661,777,781,783,815,822,833,884,893
0,0,0.091362,0,0.2,0.102344,0.196,0.34,0.22,0.698,0,0.9,0,0.2,14,43,118,145,181,198,200,258,275,278,307,387,417,507,519,614,651,710,758,782,783,815,822,833,876,893
1,0,0.214286,0.02,0.46,0.247453,0.046,0.04,0.48,0.046,0,0.1,0,0.46,15,110,118,145,181,196,200,258,275,277,307,387,417,507,519,614,651,745,757,780,783,815,827,855,876,915
0,0,0.004983,0.01,0,0.045359,0.004,0.03,0,0.004,0,0.1,0,0,14,38,122,148,183,195,200,258,275,278,307,391,417,509,526,619,652,667,758,780,787,815,823,834,875,901
0,0,0.013289,0.73,0.02,0.160953,0.386,0.01,0.5,0.118,0,0.1,0,0.3,14,70,118,149,181,194,200,258,275,277,307,387,417,507,519,614,653,660,762,782,783,815,824,839,882,895
0,1,4.269103,0,0.02,0.000109,0.026,0.31,0.6,0.07,0.333333,0.5,0,0,14,99,118,145,181,194,211,264,275,277,313,387,427,509,519,614,651,660,757,779,783,815,824,833,874,893
0,0.4,0.048173,0.07,0.1,0.000281,0.012,0.08,0.14,0.016,0.166667,0.1,0,0.08,14,37,118,145,181,194,225,258,275,278,307,387,459,509,524,614,651,661,757,781,783,817,822,835,875,894
1,0.05,0.013289,0.02,0.12,0.000422,0.01,0.01,0.16,0.364,0.166667,0.1,0,0.1,15,61,133,164,190,194,200,260,275,277,307,404,417,507,519,634,651,722,757,779,802,815,822,843,874,893
0,0.05,0.004983,0.01,0.04,0.021297,0.016,0.07,0.26,0.124,0,0.3,0,0.06,25,43,118,145,182,195,200,259,275,277,307,387,417,507,519,614,651,714,758,781,783,815,822,833,876,893
1,0.15,0.210963,0.1,0.2,0.000031,0.01,0.14,0.12,0.024,0.166667,0.3,0,0.04,14,37,118,145,181,197,208,258,275,277,323,387,436,509,524,614,651,661,761,782,783,815,826,833,875,893
0,0,0.003322,0.01,0.36,0.024219,0.218,0.09,0.96,0.596,0,0.3,0,0.68,14,80,118,145,181,194,200,259,275,277,307,387,417,507,519,614,651,719,758,780,783,815,822,833,882,903
0,0,0.45515,0.04,0.26,0.067266,1.068,0.01,0.68,0.684,0,0.1,0,1.62,14,35,119,146,182,194,200,262,275,277,307,388,417,508,519,615,658,660,757,779,784,815,826,836,874,893
1,0.8,0.006645,0.03,0.04,0.000016,0.002,2.42,0.5,2.254,0.5,2.4,0,0.02,14,42,118,145,181,194,203,271,275,277,311,387,421,509,545,614,651,663,763,781,783,815,826,833,875,893
0,0,0.009967,0.06,0.04,0.143828,0.128,0.26,0.12,0.484,0,0.5,0,0.04,33,71,118,149,182,194,200,258,275,277,325,387,439,507,541,614,658,696,759,782,783,815,824,839,875,895
0,0.7,0.01495,0,0.48,0.000594,0.05,1.19,0.94,2.386,0.333333,1.2,0.2,0.46,13,35,118,145,182,196,200,258,275,277,365,387,485,510,519,614,659,660,757,779,783,815,824,854,874,893
1,0,0.093023,0.04,0.2,0.034594,0.05,0.23,0.26,0.196,0,0.4,0,0.2,15,36,118,145,181,194,200,258,275,278,307,387,417,507,519,614,651,660,757,779,783,817,822,833,874,893
0,0,0.034884,0.31,0.16,0.111406,0.252,0.01,0.4,0.232,0,0.1,0,0.16,14,52,118,145,181,193,254,260,275,278,374,387,493,508,573,614,655,677,758,780,783,815,823,833,878,907
1,0,0.003322,0.01,0.18,0.024719,0.094,0.03,0.04,0.172,0,0.2,0,0.18,14,47,118,145,182,194,202,261,275,290,308,387,418,507,530,614,652,668,768,782,783,815,822,833,884,893
0,1.45,0.003322,0,0.14,0.000016,0,8.25,0.3,2.416,0.333333,2.3,0,0,14,93,118,145,181,194,200,265,275,277,307,387,417,507,519,614,651,723,758,780,783,815,829,833,886,893
1,0.1,0.031561,0,0,0.000375,0,0.02,0,0,0.166667,0.1,0,0,14,66,118,145,181,195,200,259,275,277,307,387,417,508,519,614,652,660,757,779,783,815,823,833,874,893
0,0,0.004983,1.81,0.18,0.014016,0,0,0.52,0.052,0,0,0,0.2,14,54,118,145,181,195,200,258,275,283,307,387,441,511,519,614,657,672,763,781,783,815,823,833,874,893
0,0,0.004983,0.06,0,0.022656,0.054,0.81,0.1,0.01,0,0.1,0,0,26,35,118,145,181,194,200,258,275,278,307,387,417,507,519,614,651,660,757,779,783,817,828,833,874,893
0,0,0.003322,0.02,0.14,0.068297,1.122,0.01,0.58,0.24,0,0.1,0,0.14,14,45,127,147,181,194,246,258,275,277,326,397,440,507,585,624,653,678,757,779,793,815,827,837,874,893
1,4.4,0.003322,0.02,0,0.002406,0.008,5.19,0.64,1.71,0.166667,3.2,0,0,14,42,118,145,181,199,200,258,275,277,311,387,421,507,571,614,659,663,773,781,783,816,827,835,879,894
0,0,0.58804,0.08,0.1,0.024141,0.274,0,0.14,0.024,0,0,0,0.1,17,94,138,168,181,194,216,258,275,277,319,409,433,509,519,640,651,725,758,782,807,815,824,858,878,893
0,0,0.13289,0.04,0.44,0.187891,0,0,0.84,0.044,0,0,0,0.44,14,45,123,147,183,194,243,258,275,277,347,392,422,507,585,618,651,678,757,779,788,815,822,837,874,893
1,0.2,3.393688,0.02,0.06,0.000719,0.006,0.1,0.1,0.102,0.166667,0.4,0,0.06,14,44,118,145,181,194,200,258,275,277,317,387,430,508,542,614,659,685,757,779,783,815,823,833,874,893
